,Joke Submitter ID,Gender,Major,D23,D27,D14,D49,D102,D110,D113,D121,D111,D152,D98,D145,D180,D11,D10,D8,D7,D6,D5,D60,D61,D56,D57,D87,D94,D148,D25,D76,C26,D141,D19,D107,C48,C46,D96,D70,D69,C37,D20,D21,D16,C84,D44,C23,C39,C25,C36,C40,D44,C49,C35,C53,C57,C22,C27,C86,D83,D90,D92,D100,D103,C70,C47,C32,C33,D188,D173,D88,D62,D54,C91,D98,C78,C80,C95,C104,C105,C77,C52,C29,C99,D166,C75,D127,D125,D93,C82,C68,D181,C31,D153,D174,C88,C89,C90,C92,C97,C61,C45,C102,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,C13,C14,C15,C16,C17,C18,C19,C20,C21,D2 ,D3 ,D4,D13,D17,D28,D29,D30,D31,D32,D33,D34,D35,D36,C76,C74,D37,D38,D39,D40,D41,D42,D64,D65,D67,D68,D77,D78,D79,D80,D81,D82,D83,D84,D85,D86,D130,D132,D133,D135,D136,D138,D139,D152,D154,D156,D180,D182,D185,D186
,94728,Male,Computer Science/CSE,3,5,2,1,2,1,1,2,2,2,3,2,3,2,1,1,5,2,2,2,2,3,2,1,1,2,2,1,2,4,1,2,2,1,1,4,2,1,3,1,1,5,2,1,1,1,3,1,1,2,2,1,1,2,1,5,2,2,1,1,1,5,1,3,1,2,3,1,1,2,1,3,3,1,1,1,1,1,1,3,2,2,3,2,4,2,2,2,4,3,1,4,2,2,1,4,1,2,1,1,2,1,1,1,3,1,4,4,2,1,5,4,2,2,2,3,3,1,3,3,2,1,4,2,3,2,2,1,3,2,3,3,1,1,3,1,1,1,3,1,3,1,3,5,4,3,1,3,1,1,2,3,1,1,1,1,1,1,2,1,1,1,1,4,3,2,3,3,2,2
,22118,Male,Computer Science/CSE,1,4,3,5,2,3,4,3,2,3,3,1,4,3,3,4,4,2,4,5,2,4,3,4,3,4,2,5,5,5,5,3,4,1,4,4,4,5,5,2,4,2,5,4,3,1,1,1,1,5,1,2,1,3,5,5,4,5,3,3,3,5,5,2,3,4,5,3,5,5,3,4,3,4,3,3,5,5,4,4,3,4,3,5,3,3,4,,4,4,5,2,3,,3,4,5,4,5,1,2,5,1,2,4,2,4,4,3,5,5,3,4,3,2,5,3,3,3,4,4,3,3,5,1,5,4,4,4,4,4,1,3,3,5,5,4,3,5,1,4,4,4,4,5,4,4,2,5,3,5,3,1,4,5,2,4,5,4,5,4,1,4,3,3,4,5,4,3,5
,64239,Male,Computer Science/CSE,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
,21117,Female,Computer Science/CSE,1,1,3,5,1,3,4,2,4,1,2,4,5,4,3,3,3,1,2,5,3,2,2,1,1,3,2,4,1,3,1,4,4,4,3,4,2,5,3,4,4,1,4,4,5,1,5,1,5,1,2,4,3,3,4,2,1,4,3,4,3,1,5,1,3,3,5,4,3,4,3,5,1,4,1,4,1,2,4,3,1,3,3,5,4,4,5,3,3,5,4,5,1,4,4,2,4,5,2,3,4,1,2,3,2,5,3,1,1,1,3,4,3,1,2,5,4,3,4,1,1,1,1,2,3,1,5,4,5,4,4,3,3,5,2,5,5,4,3,2,5,3,3,3,5,5,4,5,2,4,4,5,1,3,5,1,4,4,5,5,5,5,5,3,1,5,1,3,4,5
,23189,Male,Computer Science/CSE,3,5,1,4,3,1,3,2,3,2,1,2,2,3,3,3,5,2,3,5,1,4,3,1,3,1,1,4,2,4,4,4,4,2,1,5,4,2,2,3,3,1,3,3,4,1,1,3,3,2,3,1,2,1,2,5,4,1,4,2,4,2,4,1,3,2,4,1,4,3,1,4,5,1,5,1,2,1,2,1,2,1,1,3,4,1,1,5,2,5,3,5,1,1,5,3,3,5,3,2,3,4,1,4,3,4,3,3,1,1,1,2,3,4,3,1,3,3,2,4,1,5,3,3,4,2,3,5,3,3,1,4,5,1,3,1,3,1,1,4,3,3,1,4,2,3,3,1,1,1,1,1,1,3,3,1,3,1,1,5,2,4,4,3,3,2,3,3,3,3
,84594,Male,Computer Science/CSE,,1,,,1,1,2,2,,1,2,3,,2,3,1,4,,1,3,,,,,,1,1,,,,,1,2,1,1,,1,,1,1,1,,,1,,1,,,,,,1,1,,,,1,,1,1,,1,,,1,2,,1,,,1,,2,,4,,,2,,,2,,1,1,1,,,,,2,3,2,,,,4,1,2,,1,1,1,3,1,,1,1,3,1,,,,1,1,,,,,1,1,,1,,1,,2,1,2,3,1,,1,2,1,3,,,1,,2,1,3,,,,,1,,1,,,1,1,1,,,,,,,,,2,,2,2,1,1,,
,79293,Male,Computer Science/CSE,1,2,2,3,4,3,2,2,3,1,2,2,4,2,2,1,2,3,2,2,2,1,2,1,3,2,2,2,2,4,3,3,4,4,1,3,3,4,2,2,3,5,4,3,2,1,1,1,2,3,4,1,2,2,2,5,3,4,3,3,2,4,3,1,3,3,2,2,2,3,2,2,1,1,4,3,4,3,2,3,2,3,2,4,2,3,2,2,3,2,2,2,3,4,3,2,4,2,3,2,4,2,3,3,2,3,3,1,2,1,3,2,3,2,3,2,3,5,1,3,4,4,2,2,4,2,3,3,4,2,2,2,3,2,2,4,2,3,2,2,2,3,3,2,3,4,3,4,2,4,3,5,3,3,3,3,1,3,3,2,4,4,3,3,2,2,2,2,2,2
,64072,Female,Computer Science/CSE,4,3,5,5,4,3,5,2,3,2,2,2,1,3,2,5,5,5,4,2,3,4,4,3,4,4,5,5,5,4,2,4,2,5,2,5,5,5,5,4,4,3,5,4,4,2,4,4,2,2,1,2,4,5,4,2,2,3,2,2,2,4,4,5,2,4,2,5,5,5,2,2,4,4,5,3,4,5,2,3,3,4,3,4,5,4,3,5,2,5,4,5,5,5,4,1,3,5,5,3,3,5,5,3,2,2,1,3,3,4,4,1,3,4,4,4,1,4,3,5,3,5,5,4,1,3,3,4,2,4,4,2,2,2,4,5,4,5,5,2,1,3,4,3,4,3,4,2,2,3,3,1,3,3,5,5,4,3,4,5,5,4,5,2,2,5,2,3,3,2
,30953,Male,Computer Science/CSE,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,1,1,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,4,1,1,4,1,1,1,1,1,1,1,1,1,1,1,2,1,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,2,1,4,1,1,1,1,1,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,3,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,1,1,1,1,1,1,1,1,1,1,1
,23792,Female,Statistics,2,2,2,2,4,3,5,3,3,3,3,4,2,4,3,4,3,2,2,3,2,3,3,3,4,3,5,3,4,3,3,5,3,3,2,3,3,2,4,3,3,2,3,2,3,2,4,2,3,2,2,2,2,3,5,2,3,2,3,3,3,3,3,3,3,3,3,3,2,4,2,2,2,2,4,3,3,3,3,5,2,2,3,2,3,3,3,3,3,5,3,3,4,3,3,2,4,3,2,2,2,4,5,3,3,3,2,3,4,3,2,3,4,2,2,3,5,3,3,5,4,4,2,3,2,4,2,2,3,4,4,3,2,2,2,4,3,2,3,4,3,4,3,2,3,2,2,2,2,3,2,2,3,2,3,2,2,3,2,3,3,3,2,3,3,5,3,3,2,3
,71684,Female,Computer Science/CSE,2,2,5,3,2,4,4,3,4,4,3,3,3,5,3,4,4,3,2,2,3,1,3,1,2,3,3,3,1,5,1,3,5,1,4,2,1,3,4,4,3,1,4,2,4,2,2,1,1,5,4,1,4,4,1,1,4,4,3,4,2,2,4,1,1,4,3,2,3,3,3,4,4,1,1,3,4,3,3,3,1,1,5,5,2,4,4,3,2,4,2,3,4,5,4,3,4,2,2,4,2,1,4,1,2,4,4,4,4,1,3,4,4,4,1,4,3,1,1,4,4,1,5,4,3,5,4,2,4,3,3,3,3,2,2,1,4,4,5,4,1,3,5,2,2,5,4,1,4,5,3,3,2,4,4,1,4,4,1,2,2,2,4,4,4,5,4,4,4,4
,23192,Female,Computer Science/CSE,2,2,3,4,2,2,2,3,2,3,2,3,2,2,3,3,5,3,2,5,2,3,3,2,2,3,2,4,4,3,3,2,3,3,2,4,4,4,2,3,2,3,4,2,4,3,2,1,1,2,1,4,2,3,4,1,2,1,2,2,2,3,3,2,2,3,3,1,3,3,2,2,4,4,3,2,2,1,5,3,3,4,2,5,4,3,4,5,2,5,5,4,1,2,4,2,4,4,5,1,2,3,4,3,3,3,1,3,2,1,2,4,2,3,1,2,1,2,2,4,3,2,2,2,3,3,1,3,2,2,2,2,3,2,3,4,2,2,2,2,3,4,3,1,2,4,3,2,3,3,3,2,1,3,3,1,2,4,,4,4,2,3,2,2,1,2,3,2,3
,92919,Female,Statistics,3,3,5,4,4,4,5,4,3,5,4,4,4,5,4,4,5,5,2,2,4,4,3,3,5,4,5,4,4,4,2,4,4,4,3,5,5,5,5,3,4,2,4,4,4,4,4,2,5,4,4,3,4,5,4,2,3,3,3,3,4,5,4,3,4,4,2,3,4,5,3,3,4,4,4,5,4,2,4,4,4,4,4,5,4,2,3,5,4,5,5,3,5,3,4,3,4,3,5,2,5,4,5,4,3,4,3,4,4,4,4,3,5,4,4,3,5,4,3,4,5,4,4,4,4,3,4,4,3,4,5,3,3,5,5,4,3,4,3,3,3,3,4,3,5,5,4,4,4,4,2,2,4,4,3,3,4,3,2,5,4,4,5,5,5,4,4,4,3,5
,91709,Male,Computer Science/CSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,75280,Female,Statistics,1,3,2,,,,1,,3,1,2,,,,,,,3,2,2,1,,4,,,1,1,1,2,4,1,,,,1,,1,3,,,5,,4,4,,,2,1,,,,5,,,2,2,,5,,,1,,,1,,,,1,2,,4,1,3,1,,,,1,3,,1,2,,,2,,,,,4,,,1,,2,5,3,4,3,1,,,,4,2,1,1,2,,,1,,,,1,1,,,,4,,,,4,4,,2,,1,2,,,,,2,1,,3,,5,2,4,4,,1,3,1,1,1,,2,4,1,2,,,,,1,5,,2,,4,,3,,,2,
,81514,Male,Statistics,2,2,3,3,1,2,4,1,3,1,1,1,1,1,3,1,4,4,4,2,1,2,2,1,4,4,3,4,3,1,1,1,2,1,3,3,2,2,4,3,1,1,3,2,5,4,3,1,1,4,2,2,2,5,1,1,4,3,1,1,2,1,4,1,1,4,3,4,1,4,1,1,1,2,1,1,4,1,3,3,1,1,2,4,4,1,2,2,2,4,3,4,4,1,1,1,1,2,5,1,3,1,1,1,4,4,1,3,1,1,2,1,4,1,1,1,1,3,3,5,2,4,3,4,1,3,1,3,3,1,2,1,2,2,4,1,2,2,1,2,1,1,5,1,2,4,1,4,4,2,1,1,2,3,4,2,3,1,4,5,2,4,2,1,1,1,1,1,1,2
,53027,Male,Computer Science/CSE,2,1,5,5,5,2,4,4,5,3,1,2,5,3,1,3,5,5,3,5,2,5,5,3,5,5,5,5,4,5,5,4,2,5,5,2,5,5,5,3,3,1,5,4,3,3,5,1,5,5,1,5,1,4,5,4,4,4,2,2,4,4,5,4,2,5,5,4,5,5,1,1,5,4,5,1,5,1,4,4,4,1,4,5,3,4,3,5,3,5,4,1,4,1,2,4,4,3,5,1,5,1,5,1,4,5,1,5,1,2,5,2,5,5,2,1,5,5,1,4,4,1,5,5,5,3,5,5,1,4,3,3,1,1,3,5,5,1,3,5,2,4,5,1,4,1,3,1,4,1,5,1,3,5,5,5,3,3,5,5,3,3,5,2,2,3,4,3,4,3
,97832,Male,Computer Science/CSE,3,4,2,4,4,5,3,5,5,2,2,4,3,4,3,4,4,3,2,1,1,4,4,2,4,4,4,4,4,4,1,4,3,4,4,5,5,5,3,4,5,1,4,5,5,1,4,2,4,1,1,1,3,4,5,4,3,3,4,4,3,5,3,4,3,4,5,4,5,4,4,2,5,4,4,2,1,2,4,4,2,4,1,5,2,2,4,5,4,4,4,5,3,4,5,5,5,5,4,3,3,2,4,5,4,4,4,2,3,4,3,4,3,5,2,1,3,3,4,3,3,4,4,3,5,2,3,3,4,4,4,2,2,3,4,5,4,1,4,4,3,2,4,4,1,1,3,3,1,4,5,1,2,4,4,4,4,4,5,5,5,4,5,3,4,2,3,5,5,5
,19760,Male,Computer Science/CSE,1,2,3,4,1,3,1,2,3,3,4,4,5,1,2,2,4,1,3,1,1,1,1,1,2,3,1,3,1,2,1,1,3,3,3,2,1,1,3,3,4,4,3,1,2,1,3,1,3,4,1,3,1,2,3,1,3,2,2,2,3,1,2,2,3,4,1,2,3,1,2,2,1,2,2,4,1,3,3,2,4,2,4,5,1,3,1,3,4,4,1,3,4,4,4,4,1,3,4,2,4,1,1,3,2,3,4,4,1,1,5,5,3,1,1,2,3,1,1,4,5,1,4,5,2,2,3,4,2,4,4,2,2,1,1,1,4,1,1,1,3,3,3,3,2,4,1,1,1,1,1,3,1,1,1,1,1,2,3,2,2,4,1,5,4,2,3,2,4,3
,17395,Male,Computer Science/CSE,2,2,3,3,2,2,1,3,3,2,2,2,3,3,2,3,3,1,2,2,2,3,3,2,2,2,2,3,3,4,3,3,3,3,4,4,2,4,2,2,3,2,3,2,2,1,2,2,4,4,1,3,3,1,3,5,3,2,2,3,2,4,2,2,3,2,3,2,3,4,2,2,2,2,3,2,3,3,2,2,1,2,2,2,3,3,3,3,4,4,3,2,3,4,3,3,3,4,4,2,3,1,4,4,2,3,3,4,1,1,4,2,2,2,2,4,3,3,2,4,2,2,2,2,3,3,3,3,3,2,2,2,3,2,2,4,2,2,2,3,3,3,4,3,2,3,2,2,4,3,3,2,2,3,3,3,2,3,4,3,2,4,2,3,3,3,2,2,2,3
,90815,Male,Computer Science/CSE,3,3,5,3,2,4,3,5,4,2,3,3,3,3,5,4,5,2,4,3,3,3,,3,3,2,3,5,3,4,2,3,3,5,5,5,3,5,4,1,4,3,5,4,2,1,4,2,3,1,1,3,4,5,5,4,,4,3,3,5,5,5,5,4,5,4,2,5,5,,4,3,2,4,3,5,5,4,5,3,5,4,5,2,4,4,4,2,5,5,4,4,3,4,5,5,5,4,2,2,1,5,4,4,5,1,4,3,4,4,3,3,,3,1,3,1,3,5,5,2,3,5,2,4,4,5,3,4,1,3,1,4,5,5,4,4,2,4,2,4,3,5,5,5,3,4,4,3,5,1,2,4,3,3,4,3,3,3,3,5,5,5,2,3,4,3,4,3
,19817,Male,Computer Science/CSE,3,4,5,3,5,3,4,4,4,3,5,4,4,4,3,4,5,3,3,4,3,3,,4,4,2,4,5,2,5,2,3,4,2,3,5,4,5,3,4,4,2,3,4,4,2,4,3,5,3,3,3,2,4,4,4,,5,5,3,4,4,5,3,3,4,5,3,4,5,,4,5,3,5,4,4,3,4,5,3,4,4,5,3,4,3,4,4,5,4,5,4,5,3,5,3,4,3,2,3,5,2,4,5,4,4,4,4,2,3,4,3,,4,2,4,3,5,4,5,3,3,5,2,3,4,5,3,4,3,2,3,4,4,5,4,5,5,5,4,4,4,4,4,4,3,2,4,2,5,5,4,5,5,4,3,3,5,4,5,5,4,4,5,3,4,4,4,4
,55174,Female,Computer Science/CSE,4,3,4,4,5,3,4,4,3,3,3,4,3,3,3,5,5,1,3,3,3,4,,1,4,4,3,3,2,4,2,1,3,4,4,5,2,4,3,4,4,4,3,3,3,3,5,4,4,4,4,4,3,4,4,4,,4,4,4,2,2,4,4,4,3,4,5,5,4,,2,4,3,2,5,5,4,5,5,4,4,5,3,2,3,3,3,4,5,5,3,3,3,4,4,5,5,3,4,2,4,5,4,5,3,1,1,5,2,5,4,3,,2,5,4,2,5,1,3,1,4,4,1,3,4,4,4,4,3,2,3,2,,5,3,4,3,4,2,2,5,4,3,4,3,4,2,2,5,3,4,,5,2,2,4,5,4,3,5,3,4,5,4,4,3,3,3
,10711,Male,Physics,2,1,1,1,1,2,2,3,4,1,1,2,1,1,1,2,2,1,2,2,4,1,,2,2,2,2,1,1,2,1,2,2,1,2,1,1,1,2,3,4,2,2,1,1,3,1,1,3,3,4,1,1,2,2,,,1,2,1,2,2,1,1,2,2,1,2,1,2,,2,1,2,3,2,3,2,1,1,2,2,2,1,2,2,2,1,2,1,1,2,3,3,1,1,3,1,1,3,1,1,1,2,3,2,1,2,2,1,2,2,1,,1,2,2,2,2,1,3,2,2,2,2,1,2,2,2,3,2,5,1,1,1,2,2,1,2,3,2,2,1,1,2,3,2,1,1,4,4,4,2,1,3,1,1,3,2,1,2,1,3,1,2,2,1,1,1,2
,85889,Male,Computer Science/CSE,1,4,2,4,2,3,3,3,3,4,3,3,3,2,4,2,2,5,2,5,2,2,,3,3,4,2,5,4,4,2,1,5,5,3,4,2,2,3,4,5,4,3,3,2,1,2,4,3,3,2,3,2,3,3,3,,4,3,4,2,4,3,2,2,4,,2,3,,,3,5,2,2,2,3,2,2,4,2,4,3,2,3,4,2,3,5,2,4,3,4,3,3,3,4,4,4,3,3,2,3,2,4,3,4,4,4,2,4,5,3,,1,2,2,2,2,2,2,2,3,3,3,5,5,3,3,4,3,3,3,2,4,3,2,4,2,3,4,3,3,3,4,3,1,3,2,3,3,3,2,4,4,2,1,5,4,2,2,4,2,3,4,4,4,3,3,3
,98039,Male,Computer Science/CSE,2,3,4,2,2,3,2,2,2,4,2,2,2,1,3,4,2,4,1,4,1,4,,2,2,3,4,4,2,5,3,1,4,1,4,5,3,4,4,2,2,1,4,3,5,2,3,1,2,1,1,4,4,3,4,2,,2,2,2,2,4,4,2,2,3,4,2,2,4,,2,2,3,3,2,2,1,3,4,1,4,4,5,4,2,4,4,4,5,2,2,3,1,2,2,2,4,4,2,3,1,1,4,2,3,1,2,2,1,4,5,2,,4,1,4,4,1,2,4,3,2,4,1,4,4,4,3,3,1,2,2,2,3,1,2,3,4,2,2,2,4,4,5,3,4,4,3,5,4,4,3,4,5,3,3,2,2,4,4,3,1,1,2,2,3,4,3,4
,64740,Male,Computer Science/CSE,1,5,3,2,3,2,2,3,3,2,3,3,3,1,2,2,4,2,1,1,2,2,,1,3,2,1,2,2,5,2,2,2,2,3,4,1,3,2,1,2,1,3,2,4,1,2,1,1,3,1,3,3,2,3,2,,3,3,3,3,2,2,2,3,3,2,2,2,3,,2,3,2,2,2,3,1,2,2,1,2,5,4,2,3,3,3,4,3,3,1,2,2,2,2,2,2,2,2,2,1,2,3,3,3,4,2,2,1,3,4,3,,4,3,4,3,4,4,4,3,2,3,1,2,2,3,5,2,2,1,2,3,2,2,3,2,1,1,4,3,4,3,4,5,3,3,4,3,3,2,3,2,2,3,1,2,4,1,1,3,2,3,2,3,2,3,2,2
